sõna,sihtsünohulk,suhtesoovitused,sihtsünohulga definitsioon,suhtega seotud soovitused
HAIGUS,Henoch-Schönleini purpur.n.01,"{""Synset('glomerulonefriit.n.01')"", ""Synset('põletik.n.01')""}","peamiselt lastel esinev väikeste veresoonte tõenäoliselt immuunreaktsiooni vahendusel tekkiv põletik, mis põhjustab väikesi naha verevalumeid, soolesümptomeid, liigesepõletikku ja vahel ka neerupõletikku",set()
HAIGUS,flegmoon.n.01,"{""Synset('põletik.n.01')""}","laialdane mädapõletik, mis haarab nahaaluse rakustiku, sidekirmete- ja lihastevahelised vaheruumid","{""Synset('põletik.n.01')""}"
HAIGUS,konjuktiviit.n.01,"{""Synset('põletik.n.01')""}",,set()
HAIGUS,nägemisnärvi põletik.n.01,"{""Synset('põletik.n.01')""}","põletik, mis haarab nägemisnärvi silmakoopasisest osa",set()
HAIGUS,hemokromatoos.n.01,"{""Synset('ainevahetushäire.n.01')""}","pärilik või omandatud raua ainevahetushäire, mis avaldub raua ladestumises organismis selle liiga suure sisalduse tõttu",set()
HAIGUS,tsüstiit.n.01,"{""Synset('põletik.n.01')""}",tekib mikroobide ehk haigustekitajate sattumisel põide,set()
HALVENDAMA,nurjama.v.01,"{""Synset('narrima.v.02')"", ""Synset('solkima.v.01')""}",nurja ajama,set()
HAMMAS,jäävhammas.n.01,"{""Synset('piimahammas.n.01')""}",(piimahamba järel ilmuv) mittevahetuv hammas,"{""Synset('piimahammas.n.01')""}"
HAMMAS,võhk.n.01,"{""Synset('lõikehammas.n.01')""}",mõne imetaja suur lõikehammas,set()
HAMMAS,purihammas.n.01,"{""Synset('silmahammas.n.01')""}",iga silmahambast tagapool asetsev laia mälumispinnaga hammas,set()
HAMMAS,piimahammas.n.01,"{""Synset('jäävhammas.n.01')""}","esialgne hammas lastel ja noorloomadel, mis asendub hiljem jäävhambaga","{""Synset('jäävhammas.n.01')""}"
HAMMAS,silmahammas.n.01,"{""Synset('purihammas.n.01')""}",lõike- ja purihammaste vahel asetsev tugev terava otsaga hammas,set()
HARIDUS,kõrgharidus.n.01,"{""Synset('eriharidus.n.01')"", ""Synset('keskharidus.n.01')""}",keskharidusele tuginev erihariduse kõrgeim aste,set()
HARIDUS,keskeriharidus.n.01,"{""Synset('eriharidus.n.01')""}",,set()
HARIDUS,üldharidus.n.01,"{""Synset('kutseharidus.n.01')""}",ühiskonnaliikmeks kujunemiseks vajalik üldine haridus (hrl. vastandatuna eri- v. kutseharidusele) (EKSS),set()
HARIDUS,algharidus.n.01,"{""Synset('koolitarkus.n.01')""}",hilisemale eriainete omandamisele aluseks olev teadmiste ja oskuste süsteem,set()
HARITLANE,filosoof.n.01,"{""Synset('tark.n.01')"", ""Synset('teadlane.n.01')""}","filosoofiaga tegelev teadlane v. mõtisklevalt, juurdlevalt ellu suhtuv inimene",set()
HARITLANE,polüglott.n.01,"{""Synset('tark.n.01')""}",paljusid keeli valdav isik.,set()
HARITLANE,adept.n.01,"{""Synset('tark.n.01')""}","uskus olevat leidnud n-ö tarkade kivi, kulla",set()
HARRASTUS,bonistika.n.01,"{""Synset('kogumine.n.03')""}",paberraha kogumine harrastusalana (EKSS),set()
HARRASTUS,filateelia.n.01,"{""Synset('kogumine.n.03')""}",postmarkide jm. postimaksevahendite kogumine ja uurimine (EKSS),set()
HARRASTUS,bibliofiilia.n.01,"{""Synset('kogumine.n.03')""}",haruldaste ning väärtuslike raamatute kogumine,set()
HEADUS,väärtuslikkus.n.01,"{""Synset('hind.n.02')""}","<< kallis; hind, maksumus.",set()
HEAOLU,heameel.n.01,"{""Synset('lõbu.n.01')""}","rõõmu-, rahuldustunne, hea meel",set()
HEASTAMA,korvama.v.01,"{""Synset('kompenseerima.v.01')""}","puudust v. vajakajäämist (mingil määral) tasa tegema, tasakaalustama",set()
HEITMA,paiskama.v.01,"{""Synset('loopima.v.01')"", ""Synset('virutama.v.01')""}","midagi hooga kuhugi, mingisse asendisse v. seisundisse heitma, virutama, pilduma v. lennutama (EKSS) hooga midagi kuhugi panema v. laskma (EKSS)",set()
HELI,sirin.n.01,"{""Synset('müra.n.01')""}",mitmesuguste vibreerivate helide v. mürade kohta (EKSS),set()
HELI,sädin.n.01,"{""Synset('hääl.n.04')""}",(väikeste) lindude häälitsus,set()
HELI,kiunatus.n.01,"{""Synset('hääl.n.04')""}",lühike kiunuv häälitsus v. heli,set()
HELI,kihin.n.01,"{""Synset('naer.n.01')"", ""Synset('müra.n.01')""}","vaiksest summutatud rääkimisest, ärevast kõlatust sosistamisest, naerust vms. tekkiv nõrk müra (EKSS)",set()
HELI,ägin.n.01,"{""Synset('hääl.n.04')""}",vaikne hädine v. ebamäärane kägisev häälitsemine.,set()
HELI,kiuks.n.01,"{""Synset('hääl.n.04')""}",lühike kiuksuv heli v. häälitsus,set()
HELI,põnks.n.01,"{""Synset('kõla.n.02')""}",metalse kõlaga lühike järsk heli (näit. pillikeele näppimisel),set()
HELI,müdin.n.01,"{""Synset('rabin.n.02')"", ""Synset('krabin.n.01')"", ""Synset('müra.n.01')""}","suhteliselt vaikne tume müra, tümin. tume õõnes rabin, (tugev) krobin.",set()
HELI,prõks.n.01,"{""Synset('praks.n.01')""}","hrl. millegi murdumise lühike kerge heli, kerge praks",set()
HELI,tuut.n.01,"{""Synset('pasunahääl.n.01')""}","annab edasi madalat heli, näit. signaaliheli, pasunahäält vms. (ka korduvana) (EKSS)",set()
HELI,kurin.n.01,"{""Synset('hääl.n.04')""}","vee neeldumisest, pooltühjades torudes voolamisest vms. tingitud heli; (lindude, inimese) kudrutav, kugisev häälitsus",set()
HELI,naer.n.01,"{""Synset('hääl.n.04')""}","(inimesel, inimahvidel:) hrl. lõbutunnet väljendavate näoliigutuste ja tõukelise väljahingamisega kaasnev häälitsuste jada; naermine (EKSS)",set()
HELI,heli.n.04,"{""Synset('müra.n.01')""}","akustiline nähtus, mida tekitab heliallika ühtlane perioodiline võnkumine, teatava kindla kõrgusega toon erinevalt mürast",set()
HELI,kompsatus.n.01,"{""Synset('müdin.n.01')""}","lühike kompsumine, kompsatamise heli löögi, kukkumise, põrkumise põhjustatud järsk, lühike tuhm heli",set()
HELI,käteplaks.n.01,"{""Synset('laks.n.01')""}",pihkude kokkulöömise heli,set()
HELI,kobin.n.02,"{""Synset('krabin.n.01')"", ""Synset('müra.n.01')"", ""Synset('kõla.n.02')""}","nõrk tuhm astumise vm. müra. tuhmi kõlaga kolin. tasane, kerge (astumisest tingitud) kobin v. krabin.",set()
HELI,madin.n.02,"{""Synset('müra.n.01')"", ""Synset('müdin.n.01')"", ""Synset('kobin.n.02')""}","kerge müdin, mütsumine, kobin vm. müra (eriti jooksmise kohta) (EKSS)","{""Synset('müdin.n.01')""}"
HELI,sumin.n.01,"{""Synset('hääl.n.02')""}","hrl. madalatooniline suhteliselt ühtlane pidev (vaikne) heli, mida tekitavad lendavad putukad, inimhääled, teat. esemed vms (EKSS)",set()
HELI,võrin.n.01,"{""Synset('müra.n.01')""}",mitte väga vali põrisev v. vurisev heli v. müra (EKSS),set()
HELI,porin.n.01,"{""Synset('müra.n.01')""}",madal ühtlane põrisev heli pidev monotoonne (vibreeriv) heli v. müra,set()
HELIN,tirin.n.02,"{""Synset('kell.n.03')""}",kella vm. märguandevahendi tekitatud heledakõlaline pidev vibreeriv heli,set()
HERNES,suhkruhernes.n.01,"{""Synset('aedhernes.n.01')""}","aedherne teisend, millest toiduks tarvitatakse mahlaseid ja magusaid kaunu koos poolvalminud seemnetega (EKSS)",set()
HIND,hulgihind.n.01,"{""Synset('müügihind.n.01')""}",kaupade müügihind ettevõtetevahelises käibes ja hulgikaubanduses (EKSS),set()
HING,kodumaalane.n.01,"{""Synset('autoriteet.n.02')""}",kellegi kodumaalt pärit inimene (EKSS),set()
HING,karsklane.n.01,"{""Synset('mittesuitsetaja.n.01')""}",alkohoolsete jookide mittetarvitaja (vahel ka mittesuitsetaja).,set()
HING,aafriklane.n.01,"{""Synset('elanik.n.01')""}",Aafrika päriselanik,set()
HING,juhtfiguur.n.01,"{""Synset('figuur.n.02')""}",,set()
HING,põllumees.n.01,"{""Synset('mees.n.02')""}",põlluharimisega elatist hankiv isik; põllumajanduses töötav isik,set()
HING,mees.n.02,"{""Synset('laps.n.02')""}","sellest soost inimene, kes ei saa sünnitada lapsi",set()
HING,külaline.n.01,"{""Synset('autoriteet.n.02')""}","isik, kes on kellegi juures külas v. võtab võõrana osa mingist peost, koosolekust vm. üritusest",set()
HING,käendaja.n.01,"{""Synset('mees.n.02')""}","käendav isik käendaja, käemees.",set()
HING,soovija.n.01,"{""Synset('harrastaja.n.02')""}",,set()
HING,fašist.n.01,"{""Synset('mees.n.02')"", ""Synset('võimutseja.n.01')""}","Hitleri, hitlerismi pooldaja, Hitleri-Saksa võimumees. haakristi embleemina kandev nats.",set()
HING,küüdimees.n.01,"{""Synset('mees.n.02')""}",,set()
HING,pärismaalane.n.01,"{""Synset('elanik.n.01')""}","inimene, kes on sündinud teatud paikkonnas",set()
HING,sääsk.n.02,"{""Synset('autoriteet.n.02')""}",kellelegi millegi poolest hõlpsasti allajääv isik (EKSS),set()
HING,ebamõrsja.n.01,"{""Synset('mees.n.02')""}","eesti pulmakommetes isik, keda pakuti peigmehele mõrsja asemel (EKSS)",set()
HING,rantjee.n.01,"{""Synset('oma.n.02')""}","isik, kes ei võta osa majandustegevusest ja elatub ainult oma kapitalilt saadavast tulust",set()
HING,temperamenditüüp.n.01,"{""Synset('tüüp.n.03')""}",,set()
HING,kultuuritegelane.n.01,"{""Synset('figuur.n.02')""}",,set()
HING,moraalijünger.n.01,"{""Synset('järelkäija.n.01')""}","nii iseloomustatakse inimest, kes on äärmuslikult moraalne või teiste (seksuaal)käitumise suhtes hindaja positsioonil",set()
HING,muinsuskaitsja.n.01,"{""Synset('kaitsja.n.02')""}",,set()
HING,hipi.n.01,"{""Synset('osavõtja.n.02')"", ""Synset('laps.n.02')""}",stiihilisest noorteliikumisest osavõtja; hipikultuuri esindaja,set()
HING,talupoeg.n.01,"{""Synset('mees.n.02')""}",maal elav ja talu pidav inimene,set()
HING,tulevane.n.01,"{""Synset('abikaasa.n.03')""}",tulevane abikaasa,set()
HING,nonkonformist.n.01,"{""Synset('konformist.n.01')"", ""Synset('mõtleja.n.02')""}",,set()
HING,sõjamees.n.01,"{""Synset('autoriteet.n.02')"", ""Synset('mees.n.02')""}","keegi, kes on seotud sõjaga v. kogenud sõjanduses",set()
HING,ärimees.n.01,"{""Synset('mees.n.02')"", ""Synset('figuur.n.02')""}","inimene, kes tegeleb äritegevusega (kõnekeeles)",set()
HING,pühak.n.01,"{""Synset('tegija.n.01')"", ""Synset('mees.n.02')"", ""Synset('kostja.n.01')"", ""Synset('tegutseja.n.03')""}","legendaarne v. ajalooline eriliselt vaga isik, keda ristiusus austatakse imetegijana ja inimeste eestkostjana jumala ees.",set()
HING,võimutseja.n.01,"{""Synset('mees.n.02')""}",,set()
HING,gestaapolane.n.01,"{""Synset('töötaja.n.01')""}",gestaapo töötaja (EKSS),set()
HING,daltonist.n.01,"{""Synset('kannataja.n.02')"", ""Synset('kannataja.n.01')""}",daltonismi all kannataja.,set()
HING,fanaatik.n.01,"{""Synset('harrastaja.n.01')"", ""Synset('kaitsja.n.02')"", ""Synset('harrastaja.n.02')""}","millelegi pimesi ja jäägitult andunu, millegi kirglik kaitsja v. harrastaja. mingist ideest v. tegevusest vaimustunud isik, innuga mingile tegevusele andunud isik.",set()
HING,lahutaja.n.03,"{""Synset('abikaasa.n.03')""}","abielulahutuse, abikaasast lahkumineku kohta",set()
HING,tuhvlialune.n.01,"{""Synset('kangelane.n.01')""}",,set()
HING,aatemees.n.01,"{""Synset('mees.n.02')""}",,set()
HING,toitja.n.01,"{""Synset('annetaja.n.01')""}",,set()
HING,osavõtja.n.02,"{""Synset('saaja.n.02')""}",millestki ametlikust tegevusest osasaaja,set()
HING,õpilane.n.01,"{""Synset('laps.n.02')""}",õpetaja juures õppiv inimene (sageli laps),set()
HING,lippur.n.01,"{""Synset('mees.n.02')""}",lipukandja.,set()
HING,omainimene.n.01,"{""Synset('mees.n.02')""}",siseinfot valdav isik; asjasse pühendatu (EKSS),set()
HING,eakaaslane.n.01,"{""Synset('autoriteet.n.02')""}",kellegagi samas vanuses või vanusejärgus isik (EKSS),set()
HING,saatja.n.04,"{""Synset('autoriteet.n.02')""}",kedagi v. midagi saatev isik (vm. olend),set()
HING,elunautija.n.02,"{""Synset('mees.n.02')""}",,set()
HING,kusik.n.01,"{""Synset('tegutseja.n.03')"", ""Synset('tegija.n.01')""}",,set()
HING,laureaat.n.01,"{""Synset('figuur.n.02')"", ""Synset('saavutaja.n.02')""}","ametlikult auhinnatud kirjanik, kunstnik, teadlane v. ühiskonnategelane; festivali v. konkursi võitja",set()
HING,igamees.n.01,"{""Synset('mees.n.02')""}",iga üksik inimene eraldi võetuna,set()
HING,naine.n.02,"{""Synset('laps.n.02')""}","sellest soost inimene, kes võib sünnitada lapsi (kõnekeeles)",set()
HING,testamenditäitja.n.01,"{""Synset('pärandaja.n.01')""}",pärandaja poolt tema tahteavalduse täideviijaks määratud isik,set()
HING,suurmees.n.01,"{""Synset('riigitegelane.n.01')"", ""Synset('mees.n.02')"", ""Synset('figuur.n.02')""}","mingil alal silmapaistev isik, kuulus tegelane, riigimees vm",set()
HING,tolmuahv.n.01,"{""Synset('ahv.n.02')""}","piltl. (tolmuse inimese kohta, ka  halvustavalt) (EKSS)",set()
HING,keelekasutaja.n.01,"{""Synset('tarbija.n.01')""}",,set()
HING,veteran.n.01,"{""Synset('tegutseja.n.03')"", ""Synset('tegija.n.01')"", ""Synset('olija.n.01')""}",kõnek vana olija v tegija mingil alal,set()
HING,mittekodanik.n.01,"{""Synset('kodanik.n.01')""}",teat. riigi kodakondsusesse mittekuuluv isik (EKSS),"{""Synset('kodanik.n.01')""}"
HING,vang.n.02,"{""Synset('vaenlane.n.01')""}","vaenlase poolt kinni võetud isik (näit. sõjavang, pantvang) (EKSS)",set()
HING,mängija.n.01,"{""Synset('mees.n.02')""}",pillimehe  kohta,set()
HING,aferist.n.01,"{""Synset('kütt.n.01')""}","petis, afääridega tegeleja.",set()
HING,naljamees.n.01,"{""Synset('tegija.n.01')"", ""Synset('mees.n.02')"", ""Synset('sell.n.02')"", ""Synset('tegutseja.n.03')""}",,set()
HING,vikerlane.n.01,"{""Synset('sõjamees.n.01')""}",viikingiaja eesti sõdalane ning meresõitja (19. saj. ilukirjanduses kasutusele võetud sõna) (EKSS),set()
HING,kubujuss.n.01,"{""Synset('laps.n.02')""}",paksult riides inimene (hrl. laps) (EKSS),set()
HING,riigitegelane.n.01,"{""Synset('mees.n.02')"", ""Synset('figuur.n.02')""}",,set()
HING,näljarott.n.01,"{""Synset('ihnuskoi.n.01')"", ""Synset('sääsk.n.02')""}","vaesuses, puuduses elav inimene (EKSS)",set()
HING,tööandja.n.01,"{""Synset('annetaja.n.01')""}",,set()
HING,mundrimees.n.01,"{""Synset('mees.n.02')""}","inimene, kelle tööriietus on munder (politseinik, kaitseväelane vms)",set()
HING,initsieerija.n.01,"{""Synset('mees.n.02')""}",,set()
HING,vihkaja.n.01,"{""Synset('autoriteet.n.02')""}",kellegi v. millegi põlgaja.,set()
HING,erak.n.01,"{""Synset('metsaline.n.01')"", ""Synset('argpüks.n.01')""}","üksiklasena, teistest eraldi elaja v. asuja. erak, üksildusse eemaldunud askeet.",set()
HING,retsipient.n.01,"{""Synset('saaja.n.02')""}","(kommunikatsioonis:) teate saaja, adressaat (EKSS)",set()
HING,kirjaoskaja.n.01,"{""Synset('tundja.n.01')"", ""Synset('mõistja.n.03')"", ""Synset('mõistja.n.01')"", ""Synset('kogeja.n.02')""}",,set()
HING,eelkäija.n.02,"{""Synset('autoriteet.n.02')""}","see, kes eelnes kellelegi teisele mingil ameti- v. töökohal, kohustuste täitmisel vms.",set()
HING,riukleja.n.01,"{""Synset('mees.n.02')""}",,set()
HING,võitleja.n.01,"{""Synset('autoriteet.n.02')""}","keegi, kes võitleb",set()
HING,asendaja.n.01,"{""Synset('töötaja.n.01')""}","juhtiva töötaja, ülema jne. ametikohaline asendaja (teatud funktsioonides)",set()
HING,norija.n.02,"{""Synset('tegutseja.n.03')"", ""Synset('tegija.n.01')""}",,set()
HING,autoriteet.n.02,"{""Synset('mees.n.02')"", ""Synset('oma.n.02')""}","vaimse mõjuvõimuga ning lugupeetud isik; üldise tunnustuse pälvinud isik, omal alal tunnustatud spetsialist tähtis, tunnustatud v. lugupeetud isik (EKSS)",set()
HING,prototüüp.n.03,"{""Synset('figuur.n.02')""}","tegelikult elanud v. elav inimene, kelle elukäiku ja iseloomujooni on kirjanik teose tegelast luues kasutanud (EKSS)",set()
HING,võrgutaja.n.01,"{""Synset('meelitaja.n.02')"", ""Synset('vallutaja.n.01')"", ""Synset('meelitaja.n.01')""}",vastassugupoole veetleja (EKSS),set()
HING,omakaitsemees.n.01,"{""Synset('mees.n.02')""}",,set()
HING,õnnelaps.n.01,"{""Synset('laps.n.02')""}",,set()
HING,lauanaaber.n.01,"{""Synset('naaber.n.01')""}",lauas kõrval istuv isik (EKSS),set()
HING,opositsionäär.n.01,"{""Synset('osavõtja.n.02')"", ""Synset('töötaja.n.01')""}","vastasrindlane, opositsioonist osavõtja, selle pooldaja.",set()
HING,iseõppija.n.01,"{""Synset('õpilane.n.03')"", ""Synset('oma.n.02')""}","koolis käimata omal käel teadmised v. oskused omandanu, iseõppinu.",set()
HING,omataoline.n.01,"{""Synset('oma.n.02')""}","isik, kes on oma omaduste, ameti vms.  poolest teistega samal tasemel",set()
HING,võõras.n.01,"{""Synset('autoriteet.n.02')""}","keegi (v. miski), kes (v.mis) ei kuulu ümbruskonda, milles ta tavaliselt on",set()
HING,kooperaator.n.01,"{""Synset('figuur.n.02')""}",,set()
HING,dogmaatik.n.01,"{""Synset('järelkäija.n.01')""}","dogma(de)st kinnipidaja, dogma(de) järgija; kitsarinnaline isik",set()
HING,tunnistaja.n.01,"{""Synset('mees.n.02')""}",midagi pealt näinud isik,set()
HING,eraisik.n.02,"{""Synset('kodanik.n.01')""}",mittemilitaarne isik v. kodanik,set()
HING,ahv.n.02,"{""Synset('autoriteet.n.02')""}","ebameeldiva välimusega, edeva v. kedagi, midagi matkiva, järeleahviva inimese kohta",set()
HING,rahamees.n.01,"{""Synset('mees.n.02')""}",väga rikas inimene,set()
HING,agitaator.n.01,"{""Synset('tegutseja.n.03')"", ""Synset('tegija.n.01')""}","agitatsiooni, hrl. poliitilise selgitustöö tegija",set()
HING,kaotaja.n.02,"{""Synset('jääja.n.01')""}",,set()
HING,katsejänes.n.01,"{""Synset('argpüks.n.01')""}","see, kellega midagi katsetatakse v. harjutatakse (EKSS)",set()
HING,tuulepea.n.01,"{""Synset('mees.n.02')""}",,set()
HING,liider.n.01,"{""Synset('autoriteet.n.02')""}","kellegi või millegi eesotsas olev suunav, korraldav või juhtiv isik",set()
HING,kohmard.n.01,"{""Synset('vusserdaja.n.01')"", ""Synset('koperdaja.n.01')""}","aeglane, oskamatu v. saamatu inimene saamatu, oskamatu inimene, koperdaja, vusserdaja, kobakäpp (ka kirumissõna)",set()
HING,hoolealune.n.01,"{""Synset('autoriteet.n.02')"", ""Synset('olija.n.01')""}",kellegi hoole all olija (v. olev),set()
HING,renegaat.n.01,"{""Synset('oma.n.02')""}","oma senistest (poliitilistest) vaadetest, usust vm. taganenud isik",set()
HING,kurjategija.n.01,"{""Synset('tegutseja.n.03')"", ""Synset('tegija.n.01')""}",kuriteo toime pannud isik (EKSS),set()
HING,ambur.n.01,"{""Synset('kütt.n.01')"", ""Synset('mees.n.02')""}","ammukütt, -mees (EKSS)",set()
HING,veidrik.n.01,"{""Synset('mees.n.02')""}","see, kes teiste meelest otstarbekohaselt, mõistlikult ei käitu, keda ei maksa tõsiselt võtta, veidi ogar.",set()
HING,lesk.n.01,"{""Synset('abikaasa.n.03')""}","selline, kelle abikaasa on surnud ning kes pole uuesti abiellunud.","{""Synset('abikaasa.n.03')""}"
HING,sell.n.02,"{""Synset('mees.n.02')"", ""Synset('laps.n.02')""}",(familiaarselt mehe v. lapse kohta),set()
HING,isa.n.02,"{""Synset('figuur.n.02')"", ""Synset('looja.n.01')"", ""Synset('initsieerija.n.01')"", ""Synset('liider.n.01')""}","auväärt (vaimu)inimene, (ühiskonna)tegelane vms.; vaimne juht, õpetaja; algataja, looja, esimene esindaja. (EKSS)",set()
HING,moraalipühak.n.01,"{""Synset('pühak.n.01')"", ""Synset('pühak.n.02')""}","inimene, kes tegutseb ülimalt altruistlikult",set()
HING,seadusandja.n.01,"{""Synset('annetaja.n.01')""}","seadusi ... kehtestav, väljaandev isik v. organ (EKSS)",set()
HING,surnu.n.01,"{""Synset('elanik.n.01')"", ""Synset('mees.n.02')""}","surnud inimene iidne surnunimetus, millest on tulnud manala elaniku või peremehe Mana nimi",set()
HING,allikas.n.03,"{""Synset('annetaja.n.01')""}","informatsiooni andja; koht kust informatsiooni hangitakse (inimene, organisatsioon, väljaanne)",set()
HING,eraklient.n.01,"{""Synset('eraisik.n.02')"", ""Synset('eraisik.n.01')""}",eraisikust klient,set()
HING,hani.n.02,"{""Synset('naine.n.02')""}","rumal, lihtsameelne inimene, eeskätt naine (EKSS)",set()
HING,surmalaps.n.01,"{""Synset('mineja.n.01')"", ""Synset('laps.n.02')""}",surmale määratu,set()
HING,väljuja.n.01,"{""Synset('mineja.n.01')""}","inimene, kes väljub sõidukist",set()
HING,oportunist.n.01,"{""Synset('poliitik.n.01')""}",oportunismi pooldaja,set()
HING,võtmeisik.n.01,"{""Synset('figuur.n.02')""}",mõjukas v. otsustav isik (EKSS),set()
HING,pagan.n.01,"{""Synset('tunnistaja.n.01')""}","risti- (v. juudi, muhamedi) usku mittekuuluv inimene, polüteistliku religiooni tunnistaja",set()
HING,heategija.n.01,"{""Synset('tegutseja.n.03')"", ""Synset('tegija.n.01')""}",,set()
HING,kütt.n.01,"{""Synset('mees.n.02')""}","jahil käiv isik, jahiga tegeleja",set()
HING,sabarakk.n.01,"{""Synset('autoriteet.n.02')""}","kellestki v. millestki täielikult sõltuv isik, kellegi käsutäitja; sellises sõltuvuses olev riik vms. ==> ",set()
HING,fatalist.n.01,"{""Synset('usklik.n.01')""}",saatusesse uskuja,set()
HING,katsetaja.n.01,"{""Synset('tegutseja.n.03')"", ""Synset('tegija.n.01')""}","eksperimentide tegija, katsetaja.",set()
HING,kasvandik.n.01,"{""Synset('toitja.n.01')"", ""Synset('oma.n.02')"", ""Synset('laps.n.02')""}","teat. asutuse v. isiku (ka kasulapsena) kasvatatav, ülalpeetav, hoolealune laps v. nooruk (oma kasvataja, ülalpidaja suhtes) (EKSS)",set()
HING,patrioot.n.01,"{""Synset('oma.n.02')""}","nii nimetatakse inimest, kes armastab oma isamaad ja on valmis ohvriteks ning kangelastegudeks oma rahva ja kodumaa heaks",set()
HING,tuttav.n.01,"{""Synset('autoriteet.n.02')""}","isik, keda keegi teab ja tunneb",set()
HING,siga.n.02,"{""Synset('mees.n.02')"", ""Synset('lurjus.n.01')""}","häbematu, jultunud, alatu inimene (hrl. mees); lurjus (ka sõimusõnana)",set()
HING,egoist.n.01,"{""Synset('jälitaja.n.01')""}",isekas ja enesearmastaja inimene.,set()
HING,laternasüütaja.n.01,"{""Synset('mees.n.02')""}",,set()
HING,töövõtja.n.01,"{""Synset('annetaja.n.01')"", ""Synset('tööandja.n.01')""}",tööandja juures töötav isik,"{""Synset('tööandja.n.01')""}"
HING,misantroop.n.01,"{""Synset('vihkaja.n.01')""}","inimeste vihkaja v. pelgaja, inimesepõlgur.",set()
HING,sugulane.n.01,"{""Synset('autoriteet.n.02')""}","isik, kes on seotud kellegagi vere või abielu kaudu",set()
HING,kana.n.03,"{""Synset('naine.n.02')""}",halvustav sõna rumalavõitu või tühise naise kohta,set()
HING,flirtija.n.01,"{""Synset('mees.n.02')"", ""Synset('naine.n.02')""}","nii iseloomustatakse naist, kes käitub meestega koketeerivalt ja kutsuvalt",set()
HING,filantroop.n.02,"{""Synset('tuttav.n.01')"", ""Synset('tegutseja.n.03')"", ""Synset('tegija.n.01')""}","omakasupüüdmatu inimene, kes on valmis tegutsema teiste kasuks",set()
HING,eurooplane.n.01,"{""Synset('elanik.n.01')""}",Euroopa elanik või sealt pärinev isik,set()
HING,mõistja.n.03,"{""Synset('saaja.n.02')""}",,set()
HING,kaitsja.n.02,"{""Synset('autoriteet.n.02')""}","inimene, kes kaitseb kedagi või midagi",set()
HINGAMA,ahmima.v.03,"{""Synset('hingeldama.v.01')""}","endasse tõmbama, sügavasti või lõõtsutades sisse hingama (EKSS)",set()
HOIAK,kultus.n.02,"{""Synset('austus.n.01')""}",piltl. kellegi v. millegi jumaldav austamine (EKSS),set()
HOIAK,orientatsioon.n.01,"{""Synset('kalduvus.n.01')""}","suhtumiste ja uskumuste kogu suunitlus, teat. tendents mingis suunas (EKSS)","{""Synset('kalduvus.n.01')""}"
HOIAK,pessimism.n.01,"{""Synset('kalduvus.n.01')""}",kalduvus kõikjal eeldada halba,set()
HOIAK,idealism.n.02,"{""Synset('ellusuhtumine.n.01')""}","ideaalidel põhinev ellusuhtumine, idealiseeriv elumõistmine",set()
HOIAK,kultus.n.01,"{""Synset('austus.n.01')""}","jumalate ja muude üleloomulikku väge omavaiks peetud olendite, esemete, paikade jm. usuline austamine. Esivanemate, loodusjõudude, Dionysose kultus. Roomakatoliku kirikus on tähtsal kohal jumalaema kultus. (EKSS)",set()
HOIAK,ellusuhtumine.n.01,"{""Synset('arvamus.n.02')"", ""Synset('vaade.n.02')""}","vaade elule, hoiak elunähtuste suhtes, elunähtustest arusaamine",set()
HOIAK,dekadents.n.02,"{""Synset('orientatsioon.n.01')""}",kirj kunst 19. sajandi lõpu ja 20. sajandi alguse kultuuri (eriti kirjanduse) individualistlik-estetistlikele suundadele iseloomulik pessimistlik ning nihilistlik üldhoiak (EKSS),set()
HOIAK,siht.n.05,"{""Synset('kalduvus.n.01')"", ""Synset('orientatsioon.n.01')""}","tegevussuund, suunitlus, tendents (EKSS)",set()
HOIAK,rõõmsameelsus.n.01,"{""Synset('ellusuhtumine.n.01')""}","elujaatav ning edu eeldav maailmakäsitus, jaatav ellusuhtumine, lootusrikkus tuleviku suhtes (EKSS)",set()
HOIAK,võltsoptimism.n.01,"{""Synset('rõõmsameelsus.n.01')""}",teeseldud optimism,"{""Synset('rõõmsameelsus.n.01')""}"
HOID,kirjutamine.n.09,"{""Synset('registreerimine.n.02')""}",andmete registreerimine mäluseadmes või andmekandjal,set()
HOIDMA,palsameerima.v.01,"{""Synset('konserveerima.v.01')""}",surnut rituaalsetel eesmärkidel konserveerima,set()
HOIDMA,mumifitseerima.v.01,"{""Synset('konserveerima.v.01')""}","laipa konserveerima, töötlema, kuivatama nii, et ta muutub muumiaks; seda võivad teha ka teatud looduslikud tingimused",set()
HOIDMA,slikerdama.v.01,"{""Synset('põiklema.v.02')""}",hrl. mingist tegevusest kavaldades mööda hiilima (EKSS),set()
HOIDMA,karjatama.v.01,"{""Synset('valvama.v.02')""}",kariloomi rohumaal (v. söödamaal) söötma; koduloomade v. -lindude järele vaatama,set()
HOOP,karistuslöök.n.01,"{""Synset('pealelöök.n.01')""}",mängureeglite rikkumise trahviks vastaspoolele karistusjoonelt võimaldatav pealelöök (näit. jalgpallis),set()
HULK,patarei.n.04,"{""Synset('osa.n.01')"", ""Synset('osa.n.02')""}","rida, hulk, suurem kogus mingeid ühesuguseid esemeid v. (ühendatud) koostisosi (EKSS)",set()
